               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079931,             0.16099,            0.055368,             0.43914,            0.056142,            0.015452,           0.0045073,            0.089773,            0.094095,             0.05332,            0.070035,           0.0033294,           0.0033294
                   1,            0.077807,             0.16247,            0.053878,             0.48863,            0.042604,            0.023507,           0.0073061,            0.084934,            0.091495,            0.052409,            0.039969,           0.0065968,           0.0065968
                   2,            0.076757,             0.16397,            0.053883,             0.42631,            0.050532,            0.018901,           0.0054363,            0.080447,            0.091801,            0.050345,           0.0098371,           0.0097982,           0.0097982
                   3,            0.075203,             0.16184,             0.05228,             0.40049,            0.096952,            0.055522,             0.01855,            0.078113,            0.087357,            0.045209,            0.009703,            0.009703,            0.009703
                   4,            0.074103,             0.16117,            0.051055,             0.71689,            0.059447,            0.042734,            0.013813,            0.079851,             0.10099,            0.044885,            0.009703,            0.009703,            0.009703
                   5,             0.07398,             0.16072,            0.050715,             0.59641,             0.10107,             0.06472,            0.022852,            0.076628,            0.089709,             0.04433,            0.009604,            0.009604,            0.009604
                   6,            0.073311,             0.16051,             0.05009,             0.28967,            0.084083,            0.048054,            0.014501,            0.079545,             0.08799,            0.045465,            0.009505,            0.009505,            0.009505
                   7,            0.072948,             0.16012,            0.050279,             0.41158,             0.08118,            0.066774,            0.024158,            0.073918,            0.086852,            0.045458,            0.009406,            0.009406,            0.009406
                   8,            0.072474,              0.1609,            0.049707,             0.36327,             0.12335,            0.073782,            0.026942,            0.075358,            0.086478,            0.045191,            0.009307,            0.009307,            0.009307
                   9,            0.072241,             0.16025,            0.049499,             0.42313,             0.10979,            0.076172,            0.028993,            0.073253,            0.087732,            0.044338,            0.009208,            0.009208,            0.009208
                  10,            0.071623,             0.15903,              0.0492,             0.41054,             0.13686,            0.082709,             0.03357,            0.073054,            0.087474,            0.042667,            0.009109,            0.009109,            0.009109
                  11,            0.071358,             0.15749,            0.048564,             0.27999,              0.1174,            0.089906,            0.036574,            0.074429,            0.087719,            0.044076,             0.00901,             0.00901,             0.00901
                  12,            0.070951,             0.15847,            0.048707,              0.4168,             0.13083,            0.068966,            0.026265,            0.072998,            0.089382,            0.040751,            0.008911,            0.008911,            0.008911
                  13,            0.070725,             0.15885,            0.048266,             0.38745,             0.16359,             0.10924,            0.045991,            0.070586,            0.086978,            0.040401,            0.008812,            0.008812,            0.008812
                  14,            0.070238,             0.15892,            0.048074,             0.35721,             0.14537,            0.084723,            0.031237,            0.071149,            0.086172,            0.040618,            0.008713,            0.008713,            0.008713
                  15,            0.070168,             0.15906,            0.047732,             0.35799,             0.17563,             0.11405,            0.048151,             0.06918,             0.08712,            0.040641,            0.008614,            0.008614,            0.008614
                  16,            0.069943,             0.15703,            0.047621,             0.30657,             0.18497,             0.11298,            0.043756,            0.069879,            0.085541,             0.03922,            0.008515,            0.008515,            0.008515
                  17,            0.069689,             0.15791,            0.047405,             0.29227,             0.17744,             0.10803,            0.037898,             0.07107,            0.088566,            0.038317,            0.008416,            0.008416,            0.008416
                  18,             0.06957,             0.15878,            0.047223,             0.40631,             0.19611,             0.12107,            0.053704,            0.067753,            0.085951,            0.038371,            0.008317,            0.008317,            0.008317
                  19,            0.069097,             0.15684,            0.047089,             0.32277,             0.18382,             0.12492,            0.056513,            0.068237,            0.086147,            0.039871,            0.008218,            0.008218,            0.008218
                  20,             0.06882,             0.15841,            0.046721,             0.32919,             0.18594,             0.12692,            0.055807,            0.067647,            0.085411,            0.037976,            0.008119,            0.008119,            0.008119
                  21,            0.068672,             0.15639,             0.04647,             0.31757,              0.1968,             0.12894,            0.052318,            0.067361,            0.084783,            0.038805,             0.00802,             0.00802,             0.00802
                  22,             0.06864,             0.15814,            0.046652,              0.3562,             0.20588,             0.13513,            0.059084,            0.067426,            0.085001,            0.037355,            0.007921,            0.007921,            0.007921
                  23,            0.068369,             0.15759,            0.046321,             0.33437,             0.21942,             0.14728,            0.068274,            0.065853,            0.084621,            0.038433,            0.007822,            0.007822,            0.007822
                  24,             0.06809,             0.15728,            0.045844,             0.30472,             0.22208,             0.14865,            0.067537,            0.065295,            0.084735,             0.03664,            0.007723,            0.007723,            0.007723
                  25,             0.06776,             0.15695,            0.045484,             0.34552,             0.21557,              0.1506,            0.070096,            0.065431,            0.083875,            0.037035,            0.007624,            0.007624,            0.007624
                  26,            0.068082,             0.15585,            0.045463,             0.35207,             0.20646,             0.14646,             0.06734,            0.065219,            0.085018,            0.037997,            0.007525,            0.007525,            0.007525
